ATTRIBUTES:								
								
Attribute #1:								
Attribute #2:Test								
Attribute #3:dev1								
Attribute #4:PASSED								
SETUP:MOSFET  12/04/2023  23:26:23								
DATE:12/04/2023								
TIME:23:26:23								
								
CONDITIONS:								
								
ID:	D							
UNIT:	SMU1							
MODE: SWEEP								
1.90E+00	2.16E-04	5.74E-03	5.63E-03	5.59E-03	5.00E-03	4.82E-03	4.73E-03	4.73E-03
1.95E+00	2.16E-04	6.02E-03	5.90E-03	5.86E-03	5.25E-03	5.06E-03	4.95E-03	4.94E-03
2.00E+00	2.29E-04	6.31E-03	6.18E-03	6.14E-03	5.51E-03	5.30E-03	5.18E-03	5.16E-03
2.05E+00	2.51E-04	6.60E-03	6.47E-03	6.43E-03	5.77E-03	5.55E-03	5.42E-03	5.38E-03
2.10E+00	2.81E-04	6.90E-03	6.76E-03	6.72E-03	6.04E-03	5.80E-03	5.66E-03	5.61E-03
2.15E+00	2.90E-04	7.20E-03	7.06E-03	7.01E-03	6.31E-03	6.06E-03	5.91E-03	5.84E-03
2.20E+00	2.82E-04	7.52E-03	7.37E-03	7.32E-03	6.59E-03	6.33E-03	6.16E-03	6.09E-03
2.25E+00	2.89E-04	7.84E-03	7.68E-03	7.63E-03	6.87E-03	6.60E-03	6.42E-03	6.33E-03
2.30E+00	3.11E-04	8.17E-03	8.01E-03	7.95E-03	7.17E-03	6.89E-03	6.69E-03	6.59E-03
2.35E+00	3.12E-04	8.51E-03	8.34E-03	8.28E-03	7.47E-03	7.17E-03	6.97E-03	6.85E-03
2.40E+00	3.31E-04	8.85E-03	8.68E-03	8.61E-03	7.78E-03	7.47E-03	7.25E-03	7.12E-03
2.45E+00	3.53E-04	9.20E-03	9.02E-03	8.95E-03	8.10E-03	7.78E-03	7.54E-03	7.40E-03
2.50E+00	3.72E-04	9.56E-03	9.38E-03	9.29E-03	8.42E-03	8.08E-03	7.83E-03	7.68E-03
2.55E+00	3.96E-04	9.93E-03	9.73E-03	9.65E-03	8.75E-03	8.40E-03	8.14E-03	7.97E-03
2.60E+00	4.35E-04	1.03E-02	1.01E-02	1.00E-02	9.09E-03	8.73E-03	8.45E-03	8.27E-03
2.65E+00	4.88E-04	1.07E-02	1.05E-02	1.04E-02	9.44E-03	9.06E-03	8.76E-03	8.57E-03
2.70E+00	5.10E-04	1.11E-02	1.09E-02	1.08E-02	9.79E-03	9.40E-03	9.09E-03	8.88E-03
2.75E+00	5.47E-04	1.15E-02	1.13E-02	1.12E-02	1.02E-02	9.74E-03	9.42E-03	9.20E-03
2.80E+00	6.63E-04	1.19E-02	1.17E-02	1.15E-02	1.05E-02	1.01E-02	9.76E-03	9.53E-03
2.85E+00	7.39E-04	1.23E-02	1.21E-02	1.19E-02	1.09E-02	1.05E-02	1.01E-02	9.86E-03
2.90E+00	8.31E-04	1.28E-02	1.25E-02	1.24E-02	1.13E-02	1.08E-02	1.05E-02	1.02E-02
2.95E+00	9.39E-04	1.32E-02	1.29E-02	1.28E-02	1.17E-02	1.12E-02	1.08E-02	1.06E-02
3.00E+00	1.12E-03	1.37E-02	1.34E-02	1.32E-02	1.21E-02	1.16E-02	1.12E-02	1.09E-02
3.05E+00	1.21E-03	1.41E-02	1.38E-02	1.36E-02	1.25E-02	1.20E-02	1.16E-02	1.13E-02
3.10E+00	1.28E-03	1.46E-02	1.43E-02	1.41E-02	1.29E-02	1.24E-02	1.20E-02	1.16E-02
3.15E+00	1.42E-03	1.51E-02	1.47E-02	1.45E-02	1.34E-02	1.28E-02	1.24E-02	1.20E-02
3.20E+00	1.49E-03	1.56E-02	1.52E-02	1.50E-02	1.38E-02	1.32E-02	1.28E-02	1.24E-02
3.25E+00	1.57E-03	1.61E-02	1.57E-02	1.55E-02	1.42E-02	1.37E-02	1.32E-02	1.28E-02
3.30E+00	1.71E-03	1.66E-02	1.62E-02	1.59E-02	1.47E-02	1.41E-02	1.36E-02	1.32E-02
3.35E+00	1.83E-03	1.71E-02	1.67E-02	1.64E-02	1.52E-02	1.45E-02	1.40E-02	1.36E-02
3.40E+00	2.00E-03	1.76E-02	1.72E-02	1.69E-02	1.56E-02	1.50E-02	1.45E-02	1.40E-02
3.45E+00	2.10E-03	1.82E-02	1.77E-02	1.74E-02	1.61E-02	1.55E-02	1.49E-02	1.45E-02
3.50E+00	1.98E-04	1.87E-02	1.83E-02	1.79E-02	1.66E-02	1.59E-02	1.54E-02	1.49E-02
3.55E+00	2.16E-04	1.93E-02	1.88E-02	1.85E-02	1.71E-02	1.64E-02	1.58E-02	1.54E-02
3.60E+00	2.17E-04	1.99E-02	1.94E-02	1.90E-02	1.76E-02	1.69E-02	1.63E-02	1.58E-02
3.65E+00	2.32E-04	2.04E-02	1.99E-02	1.95E-02	1.81E-02	1.74E-02	1.68E-02	1.63E-02
3.70E+00	2.44E-04	2.10E-02	2.05E-02	2.01E-02	1.87E-02	1.79E-02	1.73E-02	1.68E-02
3.75E+00	2.67E-04	2.17E-02	2.11E-02	2.06E-02	1.92E-02	1.85E-02	1.78E-02	1.72E-02
